CancerClassificationExperiment06-12-2021_637743456000000000.txt
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
Cycle: 12 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 4
Cycle: 13 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 5
Cycle: 14 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 6
Cycle: 15 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 7
Cycle: 16 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 8
Cycle: 17 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 9
Cycle: 18 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 10
Cycle: 19 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 11
Cycle: 20 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 12
Cycle: 21 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 13
Cycle: 22 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 14
Cycle: 23 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 15
Cycle: 24 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 16
Cycle: 25 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 17
Cycle: 26 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 18
Cycle: 27 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 19
Cycle: 28 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 20
Cycle: 29 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 21
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :7.6923076923076925 	 
Cycle: 2 	 Saturated Accuracy : 7.6923076923076925 	 Number of times repeated 1
Cycle: 3 	 Saturated Accuracy : 7.6923076923076925 	 Number of times repeated 2
Cycle: 4 	 Saturated Accuracy : 7.6923076923076925 	 Number of times repeated 3
Cycle: 5 	 Saturated Accuracy : 7.6923076923076925 	 Number of times repeated 4
