 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 6 	 Accuracy :72.72727272727273 	 
cycle : 7 	 Accuracy :90.9090909090909 	 
cycle : 10 	 Accuracy :72.72727272727273 	 
cycle : 11 	 Accuracy :81.81818181818183 	 
Cycle: 12 	 Saturated Accuracy : 81.81818181818183 	 Number of times repeated 1
Cycle: 13 	 Saturated Accuracy : 81.81818181818183 	 Number of times repeated 2
Cycle: 14 	 Saturated Accuracy : 81.81818181818183 	 Number of times repeated 3
cycle : 15 	 Accuracy :90.9090909090909 	 
Cycle: 21 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 1
Cycle: 22 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 2
Cycle: 23 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 3
Cycle: 24 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 4
cycle : 25 	 Accuracy :81.81818181818183 	 
Cycle: 26 	 Saturated Accuracy : 81.81818181818183 	 Number of times repeated 1
Cycle: 27 	 Saturated Accuracy : 81.81818181818183 	 Number of times repeated 2
Cycle: 28 	 Saturated Accuracy : 81.81818181818183 	 Number of times repeated 3
Cycle: 29 	 Saturated Accuracy : 81.81818181818183 	 Number of times repeated 4
Cycle: 30 	 Saturated Accuracy : 81.81818181818183 	 Number of times repeated 5
Cycle: 31 	 Saturated Accuracy : 81.81818181818183 	 Number of times repeated 6
Cycle: 32 	 Saturated Accuracy : 81.81818181818183 	 Number of times repeated 7
Cycle: 33 	 Saturated Accuracy : 81.81818181818183 	 Number of times repeated 8
Cycle: 34 	 Saturated Accuracy : 81.81818181818183 	 Number of times repeated 9
Cycle: 35 	 Saturated Accuracy : 81.81818181818183 	 Number of times repeated 10
cycle : 36 	 Accuracy :90.9090909090909 	 
Cycle: 37 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 1
Cycle: 38 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 2
cycle : 46 	 Accuracy :81.81818181818183 	 
cycle : 47 	 Accuracy :90.9090909090909 	 
Cycle: 48 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 1
cycle : 57 	 Accuracy :81.81818181818183 	 
cycle : 58 	 Accuracy :90.9090909090909 	 
Cycle: 59 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 1
cycle : 66 	 Accuracy :81.81818181818183 	 
cycle : 67 	 Accuracy :90.9090909090909 	 
Cycle: 68 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 1
Cycle: 70 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 2
Cycle: 71 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 3
Cycle: 75 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 4
Cycle: 76 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 5
Cycle: 77 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 6
Cycle: 78 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 7
Cycle: 79 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 8
Cycle: 80 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 9
Cycle: 81 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 10
Cycle: 82 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 11
Cycle: 84 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 12
Cycle: 87 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 13
Cycle: 88 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 14
Cycle: 90 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 15
Cycle: 91 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 16
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :81.81818181818183 	 
cycle : 2 	 Accuracy :72.72727272727273 	 
cycle : 3 	 Accuracy :81.81818181818183 	 
cycle : 4 	 Accuracy :77.27272727272727 	 
cycle : 5 	 Accuracy :81.81818181818183 	 
cycle : 6 	 Accuracy :77.27272727272727 	 
cycle : 7 	 Accuracy :72.72727272727273 	 
Cycle: 8 	 Saturated Accuracy : 72.72727272727273 	 Number of times repeated 1
Cycle: 9 	 Saturated Accuracy : 72.72727272727273 	 Number of times repeated 2
cycle : 10 	 Accuracy :68.18181818181817 	 
cycle : 11 	 Accuracy :77.27272727272727 	 
cycle : 12 	 Accuracy :68.18181818181817 	 
cycle : 13 	 Accuracy :72.72727272727273 	 
Cycle: 14 	 Saturated Accuracy : 72.72727272727273 	 Number of times repeated 1
Cycle: 15 	 Saturated Accuracy : 72.72727272727273 	 Number of times repeated 2
Cycle: 16 	 Saturated Accuracy : 72.72727272727273 	 Number of times repeated 3
cycle : 17 	 Accuracy :77.27272727272727 	 
Cycle: 18 	 Saturated Accuracy : 77.27272727272727 	 Number of times repeated 1
Cycle: 19 	 Saturated Accuracy : 77.27272727272727 	 Number of times repeated 2
cycle : 20 	 Accuracy :68.18181818181817 	 
cycle : 21 	 Accuracy :86.36363636363636 	 
cycle : 22 	 Accuracy :90.9090909090909 	 
cycle : 23 	 Accuracy :86.36363636363636 	 
Cycle: 24 	 Saturated Accuracy : 86.36363636363636 	 Number of times repeated 1
Cycle: 25 	 Saturated Accuracy : 86.36363636363636 	 Number of times repeated 2
Cycle: 26 	 Saturated Accuracy : 86.36363636363636 	 Number of times repeated 3
Cycle: 27 	 Saturated Accuracy : 86.36363636363636 	 Number of times repeated 4
cycle : 28 	 Accuracy :90.9090909090909 	 
cycle : 29 	 Accuracy :86.36363636363636 	 
cycle : 30 	 Accuracy :95.45454545454545 	 
cycle : 31 	 Accuracy :90.9090909090909 	 
Cycle: 32 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 1
cycle : 33 	 Accuracy :95.45454545454545 	 
cycle : 34 	 Accuracy :90.9090909090909 	 
Cycle: 35 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 1
Cycle: 36 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 2
Cycle: 37 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 3
Cycle: 38 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 4
Cycle: 39 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 5
Cycle: 40 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 6
Cycle: 41 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 7
cycle : 42 	 Accuracy :95.45454545454545 	 
Cycle: 43 	 Saturated Accuracy : 95.45454545454545 	 Number of times repeated 1
cycle : 44 	 Accuracy :90.9090909090909 	 
Cycle: 45 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 1
Cycle: 46 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 2
Cycle: 47 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 3
Cycle: 48 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 4
Cycle: 49 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 5
cycle : 50 	 Accuracy :95.45454545454545 	 
cycle : 51 	 Accuracy :90.9090909090909 	 
cycle : 52 	 Accuracy :95.45454545454545 	 
cycle : 53 	 Accuracy :90.9090909090909 	 
Cycle: 54 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 1
Cycle: 55 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 2
Cycle: 56 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 3
cycle : 57 	 Accuracy :95.45454545454545 	 
cycle : 58 	 Accuracy :90.9090909090909 	 
Cycle: 59 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 1
Cycle: 60 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 2
Cycle: 61 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 3
Cycle: 62 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 4
Cycle: 63 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 5
Cycle: 64 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 6
Cycle: 65 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 7
Cycle: 66 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 8
Cycle: 67 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 9
Cycle: 68 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 10
Cycle: 69 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 11
Cycle: 70 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 12
cycle : 71 	 Accuracy :95.45454545454545 	 
cycle : 72 	 Accuracy :90.9090909090909 	 
Cycle: 73 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 1
Cycle: 74 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 2
Cycle: 75 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 3
cycle : 76 	 Accuracy :95.45454545454545 	 
Cycle: 77 	 Saturated Accuracy : 95.45454545454545 	 Number of times repeated 1
cycle : 78 	 Accuracy :90.9090909090909 	 
Cycle: 79 	 Saturated Accuracy : 90.9090909090909 	 Number of times repeated 1
cycle : 80 	 Accuracy :95.45454545454545 	 
Cycle: 81 	 Saturated Accuracy : 95.45454545454545 	 Number of times repeated 1
cycle : 82 	 Accuracy :90.9090909090909 	 
cycle : 83 	 Accuracy :95.45454545454545 	 
Cycle: 84 	 Saturated Accuracy : 95.45454545454545 	 Number of times repeated 1
cycle : 85 	 Accuracy :90.9090909090909 	 
cycle : 86 	 Accuracy :95.45454545454545 	 
Cycle: 87 	 Saturated Accuracy : 95.45454545454545 	 Number of times repeated 1
cycle : 88 	 Accuracy :90.9090909090909 	 
