CancerClassificationExperiment05-12-2021_637742592000000000.txt
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
Cycle: 4 	 Saturated Accuracy : 17.647058823529413 	 Number of times repeated 1
cycle : 5 	 Accuracy :23.52941176470588 	 
Cycle: 6 	 Saturated Accuracy : 23.52941176470588 	 Number of times repeated 1
Cycle: 7 	 Saturated Accuracy : 23.52941176470588 	 Number of times repeated 2
cycle : 8 	 Accuracy :17.647058823529413 	 
Cycle: 9 	 Saturated Accuracy : 17.647058823529413 	 Number of times repeated 1
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :10.714285714285714 	 
cycle : 2 	 Accuracy :17.857142857142858 	 
cycle : 3 	 Accuracy :25 	 
Cycle: 4 	 Saturated Accuracy : 25 	 Number of times repeated 1
Cycle: 5 	 Saturated Accuracy : 25 	 Number of times repeated 2
Cycle: 6 	 Saturated Accuracy : 25 	 Number of times repeated 3
cycle : 7 	 Accuracy :21.428571428571427 	 
cycle : 8 	 Accuracy :28.57142857142857 	 
cycle : 9 	 Accuracy :32.142857142857146 	 
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :11.11111111111111 	 
Cycle: 4 	 Saturated Accuracy : 11.11111111111111 	 Number of times repeated 1
Cycle: 5 	 Saturated Accuracy : 11.11111111111111 	 Number of times repeated 2
Cycle: 6 	 Saturated Accuracy : 11.11111111111111 	 Number of times repeated 3
Cycle: 7 	 Saturated Accuracy : 11.11111111111111 	 Number of times repeated 4
Cycle: 8 	 Saturated Accuracy : 11.11111111111111 	 Number of times repeated 5
Cycle: 9 	 Saturated Accuracy : 11.11111111111111 	 Number of times repeated 6
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :7.6923076923076925 	 
cycle : 2 	 Accuracy :15.384615384615385 	 
Cycle: 3 	 Saturated Accuracy : 15.384615384615385 	 Number of times repeated 1
cycle : 4 	 Accuracy :23.076923076923077 	 
cycle : 5 	 Accuracy :26.923076923076923 	 
cycle : 6 	 Accuracy :19.230769230769234 	 
Cycle: 7 	 Saturated Accuracy : 19.230769230769234 	 Number of times repeated 1
Cycle: 8 	 Saturated Accuracy : 19.230769230769234 	 Number of times repeated 2
cycle : 9 	 Accuracy :23.076923076923077 	 
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :7.6923076923076925 	 
Cycle: 2 	 Saturated Accuracy : 7.6923076923076925 	 Number of times repeated 1
cycle : 3 	 Accuracy :15.384615384615385 	 
Cycle: 4 	 Saturated Accuracy : 15.384615384615385 	 Number of times repeated 1
Cycle: 5 	 Saturated Accuracy : 15.384615384615385 	 Number of times repeated 2
Cycle: 6 	 Saturated Accuracy : 15.384615384615385 	 Number of times repeated 3
Cycle: 7 	 Saturated Accuracy : 15.384615384615385 	 Number of times repeated 4
Cycle: 8 	 Saturated Accuracy : 15.384615384615385 	 Number of times repeated 5
Cycle: 9 	 Saturated Accuracy : 15.384615384615385 	 Number of times repeated 6
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :9.090909090909092 	 
Cycle: 2 	 Saturated Accuracy : 9.090909090909092 	 Number of times repeated 1
cycle : 3 	 Accuracy :18.181818181818183 	 
cycle : 4 	 Accuracy :27.27272727272727 	 
Cycle: 5 	 Saturated Accuracy : 27.27272727272727 	 Number of times repeated 1
cycle : 6 	 Accuracy :36.36363636363637 	 
Cycle: 7 	 Saturated Accuracy : 36.36363636363637 	 Number of times repeated 1
Cycle: 8 	 Saturated Accuracy : 36.36363636363637 	 Number of times repeated 2
Cycle: 9 	 Saturated Accuracy : 36.36363636363637 	 Number of times repeated 3
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :6.25 	 
cycle : 2 	 Accuracy :12.5 	 
cycle : 3 	 Accuracy :18.75 	 
Cycle: 4 	 Saturated Accuracy : 18.75 	 Number of times repeated 1
Cycle: 5 	 Saturated Accuracy : 18.75 	 Number of times repeated 2
Cycle: 6 	 Saturated Accuracy : 18.75 	 Number of times repeated 3
Cycle: 7 	 Saturated Accuracy : 18.75 	 Number of times repeated 4
Cycle: 8 	 Saturated Accuracy : 18.75 	 Number of times repeated 5
cycle : 9 	 Accuracy :25 	 
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :18.75 	 
cycle : 2 	 Accuracy :25 	 
cycle : 3 	 Accuracy :31.25 	 
cycle : 4 	 Accuracy :37.5 	 
Cycle: 5 	 Saturated Accuracy : 37.5 	 Number of times repeated 1
cycle : 6 	 Accuracy :43.75 	 
Cycle: 7 	 Saturated Accuracy : 43.75 	 Number of times repeated 1
Cycle: 8 	 Saturated Accuracy : 43.75 	 Number of times repeated 2
Cycle: 9 	 Saturated Accuracy : 43.75 	 Number of times repeated 3
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :0 	 
cycle : 4 	 Accuracy :0 	 
cycle : 5 	 Accuracy :0 	 
cycle : 6 	 Accuracy :0 	 
cycle : 7 	 Accuracy :0 	 
cycle : 8 	 Accuracy :0 	 
cycle : 9 	 Accuracy :8.333333333333332 	 
****Sequence Ending*****
